0.04,0.047,0.056,0.262,0.273
1,1,1,0.58824,0.56863
0.43137,0.43137,0.43137,0.35294,0.35294
0.5098,0.5098,0.5098,0.43137,0.39216
0.58824,0.58824,0.58824,0.47059,0.43137
0.60784,0.60784,0.60784,0.4902,0.45098
0.64706,0.64706,0.64706,0.5098,0.47059
0.66667,0.66667,0.66667,0.5098,0.47059
0.68627,0.68627,0.66667,0.5098,0.47059
0.7451,0.72549,0.68627,0.5098,0.47059
0.78431,0.76471,0.72549,0.54902,0.4902
0.78431,0.76471,0.72549,0.54902,0.4902
0.80392,0.78431,0.7451,0.54902,0.4902
0.80392,0.78431,0.7451,0.54902,0.4902
0.80392,0.78431,0.7451,0.54902,0.4902
0.86275,0.84314,0.78431,0.56863,0.4902
0.92157,0.90196,0.78431,0.56863,0.4902
0.92157,0.90196,0.78431,0.56863,0.4902
0.96078,0.94118,0.82353,0.58824,0.5098
0.96078,0.94118,0.82353,0.58824,0.5098
0.96078,0.94118,0.82353,0.58824,0.5098
0.96078,0.94118,0.82353,0.58824,0.5098
0.98039,0.96078,0.82353,0.58824,0.5098
1,0.98039,0.84314,0.58824,0.5098
1,0.98039,0.84314,0.58824,0.5098
1,0.98039,0.84314,0.58824,0.5098
1,0.98039,0.84314,0.58824,0.5098
NaN,NaN,NaN,NaN,NaN
0.04,0.047,0.056,0.262,0.273
1,0.98039,0.84314,0.58824,0.5098
0.98353,0.93804,0.8502,0.4298,0.39216
