0.313,0.362,0.368,0.412,0.417
1,0.865,0.835,0.385,0.34
0.695,0.65,0.645,0.5,0.46
0.8,0.735,0.725,0.55,0.51
0.865,0.785,0.77,0.565,0.525
0.875,0.795,0.775,0.57,0.53
0.88,0.795,0.775,0.57,0.53
0.91,0.82,0.79,0.58,0.535
0.92,0.825,0.795,0.58,0.535
0.94,0.835,0.8,0.58,0.535
0.945,0.835,0.8,0.58,0.535
0.955,0.84,0.805,0.585,0.535
0.97,0.85,0.81,0.585,0.535
0.97,0.85,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
0.975,0.855,0.81,0.585,0.535
NaN,NaN,NaN,NaN,NaN
0.313,0.362,0.368,0.412,0.417
0.975,0.855,0.81,0.585,0.535
0.84976,0.40878,0.35268,0.066585,0.048902
